OBJECTID,GEOID10,GEOID20,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA,CSA_Name,CBSA,CBSA_Name,CBSA_POP,CBSA_EMP,CBSA_WRK,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,P_WrkAge,AutoOwn0,Pct_AO0,AutoOwn1,Pct_AO1,AutoOwn2p,Pct_AO2p,Workers,R_LowWageWk,R_MedWageWk,R_HiWageWk,R_PCTLOWWAGE,TotEmp,E5_Ret,E5_Off,E5_Ind,E5_Svc,E5_Ent,E8_Ret,E8_off,E8_Ind,E8_Svc,E8_Ent,E8_Ed,E8_Hlth,E8_Pub,E_LowWageWk,E_MedWageWk,E_HiWageWk,E_PctLowWage,D1A,D1B,D1C,D1C5_RET,D1C5_OFF,D1C5_IND,D1C5_SVC,D1C5_ENT,D1C8_RET,D1C8_OFF,D1C8_IND,D1C8_SVC,D1C8_ENT,D1C8_ED,D1C8_HLTH,D1C8_PUB,D1D,D1_FLAG,D2A_JPHH,D2B_E5MIX,D2B_E5MIXA,D2B_E8MIX,D2B_E8MIXA,D2A_EPHHM,D2C_TRPMX1,D2C_TRPMX2,D2C_TRIPEQ,D2R_JOBPOP,D2R_WRKEMP,D2A_WRKEMP,D2C_WREMLX,D3A,D3AAO,D3AMM,D3APO,D3B,D3BAO,D3BMM3,D3BMM4,D3BPO3,D3BPO4,D4A,D4B025,D4B050,D4C,D4D,D4E,D5AR,D5AE,D5BR,D5BE,D5CR,D5CRI,D5CE,D5CEI,D5DR,D5DRI,D5DE,D5DEI,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Length,Shape_Area
11,4.8113E+11,4.8113E+11,48,113,11500,2,206,"Dallas-Fort Worth, TX-OK",19100,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,157.8136273,0,157.8136273,121.40259,1760,534,457,0.583,78,0.170678337,154,0.336980306,225,0.492341357,460,144,205,111,0.313043478,11,0,11,0,0,0,0,11,0,0,0,0,0,0,5,6,0,0.454545455,4.398588201,14.49721954,0.090607622,0,0.090607622,0,0,0,0,0.090607622,0,0,0,0,0,0,4.489195824,0,0.024070022,0,0,0,0,0.160687882,0.021945927,0.024432022,0,0.01242236,0.04670913,41.81818182,0,9.757148249,0,0.971792793,8.785355456,37.86947998,0,0,0,56.77583206,0,422.45,0,0.245427216,1.67,6.772545681,0.000948864,326061,238435,55494,25788,0.000299248,0.590979283,0.000280824,0.660590898,0.000215264,0.075719619,0.00022923,0.066372228,2,1,8,16,8.5,3902.336508,638662.3872
12,4.8113E+11,4.8113E+11,48,113,11500,1,206,"Dallas-Fort Worth, TX-OK",19100,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,42.4280584,0,42.4280584,42.42806,705,309,212,0.475,16,0.075471698,151,0.712264151,45,0.212264151,289,84,132,73,0.290657439,5,1,4,0,0,0,1,4,0,0,0,0,0,0,1,3,1,0.2,7.28291607,16.61636191,0.117846538,0.023569308,0.094277231,0,0,0,0.023569308,0.094277231,0,0,0,0,0,0,7.400762609,0,0.023584906,0.721928095,0.310917507,0.721928095,0.240642698,0.11030362,0.047195783,0.052542251,0,0.014084507,0.034013605,57.8,0,21.70899154,0,0.740936288,20.96805526,155.9270032,0,0,0,165.9279323,45.25307243,352.71,0.04805863,0.950628791,4.67,70.44394942,0.006624113,336064,245956,55491,25662,0.000308428,0.609109528,0.000289682,0.681428041,0.000215252,0.075715525,0.00022811,0.066047934,2,3,18,17,12.5,2628.841414,171703.7317
13,4.8113E+11,4.8113E+11,48,113,12301,2,206,"Dallas-Fort Worth, TX-OK",19100,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,168.0655592,0,168.0655592,158.43342,1207,397,397,0.583,0,0,102,0.256926952,295,0.743073048,601,148,250,203,0.24625624,42,12,0,1,5,24,12,0,1,4,24,0,1,0,17,18,7,0.404761905,2.505784449,7.61834214,0.265095584,0.075741595,0,0.0063118,0.031558998,0.151483191,0.075741595,0,0.0063118,0.025247198,0.151483191,0,0.0063118,0,2.770880033,0,0.105793451,0.73582192,0.633802503,0.670816492,0.519195887,0.256648378,0.425196584,0.471609614,0.134592195,0.067253803,0.130637636,14.30952381,1.65862E-06,22.62939224,0,2.698713717,19.93067852,149.8310547,0,3.808037786,11.42411336,140.8973981,41.88841565,571.32,0,0,7.33,27.91291697,0.006072908,302702,244333,226908,85864,0.000277809,0.548641546,0.000287771,0.676931474,0.000880186,0.309608017,0.000763247,0.220993679,4,9,18,15,13.16666667,3419.146959,680150.457
14,4.8113E+11,4.8113E+11,48,113,12301,3,206,"Dallas-Fort Worth, TX-OK",19100,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,63.8019613,0,63.8019613,63.8019613,1305,402,364,0.526,85,0.233516484,84,0.230769231,195,0.535714286,386,98,169,119,0.25388601,59,0,8,0,23,28,0,8,0,0,28,0,23,0,35,19,5,0.593220339,6.300746745,20.45391667,0.924736463,0,0.125387995,0,0.360490485,0.438857982,0,0.125387995,0,0,0.438857982,0,0.360490485,0,7.225483208,0,0.162087912,0.902850608,0.616291418,0.902850608,0.476994786,0.391234336,0.483450404,0.538216997,0.345468366,0.086510264,0.265168539,6.542372881,0.003917221,25.90359744,1.7816168,11.71083436,12.41114628,103.6808252,0,20.06207919,20.06207919,60.18623757,30.09311878,264.2,0,0,8.33,83.55855982,0.006383142,317760,249413,220417,87897,0.000291629,0.575933881,0.000293754,0.691005757,0.000855007,0.300751274,0.000781319,0.226226141,7,7,15,18,13.33333333,2651.328236,258202.64
15,4.8329E+11,4.8329E+11,48,329,304,3,372,"Midland-Odessa, TX",33260,"Midland, TX",169808,95348,74566,108.7902228,0,108.7902228,108.79022,1004,608,555,0.753,0,0,251,0.452252252,304,0.547747748,548,72,145,331,0.131386861,291,38,34,17,202,0,38,34,17,161,0,0,41,0,109,125,57,0.374570447,5.588737664,9.228770748,2.674872796,0.349296104,0.312528093,0.156264047,1.856784553,0,0.349296104,0.312528093,0.156264047,1.479912441,0,0,0.376872112,0,8.263610461,0,0.524324324,0.675185833,0.581573421,0.799163458,0.618533362,0.599957518,0.523950402,0.573727439,0.855500531,0.449420849,0.693682956,1.883161512,0.413473641,16.86616548,0,2.578013666,14.28815181,80.41310859,0,17.6486448,17.6486448,23.5315264,35.2972896,-99999,0,0,-99999,-99999,-99999,40808,38095,-99999,-99999,0.011019858,0.903971823,0.011762864,0.933083499,-99999,-99999,-99999,-99999,13,12,12,1,8.5,2702.380332,440266.9662
16,4.8329E+11,4.8329E+11,48,329,305,2,372,"Midland-Odessa, TX",33260,"Midland, TX",169808,95348,74566,153.2234977,0,153.2234977,149.32114,960,347,347,0.572,0,0,82,0.236311239,265,0.763688761,495,95,114,286,0.191919192,501,130,36,68,184,83,130,36,68,120,83,3,61,0,191,190,120,0.381237525,2.323850461,6.429096376,3.355184671,0.870606801,0.241091114,0.455394327,1.232243472,0.555848957,0.870606801,0.241091114,0.455394327,0.803637047,0.555848957,0.020090926,0.408515499,0,5.679035132,0,1.443804035,0.917113955,0.917113955,0.892895857,0.835558526,0.864296465,0.793213267,0.860157232,0.500771486,0.685831622,0.993975904,0.988023952,0.98809538,16.3286539,0.951075386,0.165537625,15.21204089,91.92114925,0,0,0,87.71500587,33.41524033,-99999,0,0,-99999,-99999,-99999,40020,36683,-99999,-99999,0.010807065,0.886516182,0.011326871,0.898498543,-99999,-99999,-99999,-99999,20,20,14,1,11.66666667,3161.264393,620086.9883
17,4.8113E+11,4.8113E+11,48,113,12302,1,206,"Dallas-Fort Worth, TX-OK",19100,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,163.1151578,0,163.1151578,155.00437,3751,1386,1241,0.493,381,0.307010475,479,0.385979049,381,0.307010475,1311,435,552,324,0.33180778,197,19,22,0,154,2,19,22,0,2,2,0,152,0,54,98,45,0.274111675,8.941683386,24.19931774,1.27093191,0.122577189,0.141931482,0,0.993520376,0.012902862,0.122577189,0.141931482,0,0.012902862,0.012902862,0,0.980617514,0,10.2126153,0,0.158742949,0.511779093,0.440822517,0.474489936,0.367243838,0.308596962,0.397709018,0.44276259,0.21130481,0.099797366,0.26127321,6.654822335,0.003500595,21.31375432,0,5.830781418,15.48297291,40.55441621,0,7.847216759,7.847216759,23.54165028,11.77082514,473.42,0,0,1,3.92360838,0.000266596,329015,263217,38040,16871,0.000301959,0.596333351,0.000310012,0.729250129,0.000147559,0.051904247,0.000149967,0.043421974,5,5,9,16,10,3608.995574,660119.2402
18,4.8113E+11,4.8113E+11,48,113,12302,2,206,"Dallas-Fort Worth, TX-OK",19100,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,190.6902823,0,190.6902823,187.97663,2855,1061,963,0.51,185,0.192107996,385,0.399792316,393,0.408099688,1149,317,472,360,0.27589208,112,3,9,18,82,0,3,9,18,33,0,0,49,0,31,42,39,0.276785714,5.644318658,15.18805822,0.595818746,0.015959431,0.047878292,0.095756584,0.436224439,0,0.015959431,0.047878292,0.095756584,0.175553738,0,0,0.260670701,0,6.240137404,0,0.116303219,0.592685823,0.510511781,0.817113022,0.632425894,0.260828702,0.307652981,0.331755828,0.051512522,0.075497135,0.177636796,10.25892857,9.52573E-05,18.06219858,0.421328107,2.627255242,15.01361523,80.57631367,0,0,6.712455321,80.54946385,20.13736596,519.01,0,0,5.33,17.88869343,0.0018669,324006,256403,71081,38031,0.000297361,0.587254635,0.000301987,0.710371749,0.000275726,0.096987534,0.000338059,0.097882822,4,13,12,15,11.83333333,5802.226271,771711.7197
19,4.8113E+11,4.8113E+11,48,113,13105,3,206,"Dallas-Fort Worth, TX-OK",19100,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,105.8383662,0,105.8383662,103.26253,1801,1110,1049,0.835,37,0.035271687,618,0.589132507,394,0.375595806,784,151,258,375,0.192602041,82,0,8,2,70,2,0,8,2,3,2,0,67,0,16,47,19,0.195121951,10.74930084,17.44098271,0.794092494,0,0.077472438,0.01936811,0.677883836,0.01936811,0,0.077472438,0.01936811,0.029052164,0.01936811,0,0.648831672,0,11.54339333,0,0.078169685,0.39188691,0.337553011,0.431392958,0.333887809,0.186060076,0.271482419,0.30067898,0.017385799,0.087095061,0.189376443,9.56097561,0.000191432,21.77121456,0.039852657,6.474571673,15.25679023,92.75426627,0,12.09391307,12.09391307,90.704348,12.09391307,112.65,0,0,6.67,40.33320008,0.003703498,471823,311575,162393,55479,0.000433023,0.855170101,0.000366967,0.863227333,0.00062993,0.221579559,0.000493154,0.142789857,3,4,14,20,12.5,4048.486567,428322.2733
20,4.8113E+11,4.8113E+11,48,113,13104,2,206,"Dallas-Fort Worth, TX-OK",19100,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,45.4794963,0,45.4794963,45.4794963,689,528,484,0.694,29,0.059917355,342,0.70661157,113,0.233471074,484,79,135,270,0.16322314,27,0,2,0,0,25,0,2,0,0,25,0,0,0,5,17,5,0.185185185,11.60962726,15.14968406,0.593674121,0,0.043975861,0,0,0.54969826,0,0.043975861,0,0,0.54969826,0,0,0,12.20330138,0,0.055785124,0.380946586,0.164064764,0.380946586,0.126982195,0.200925202,0.256584191,0.285650755,0.019740767,0.075418994,0.105675147,17.92592593,4.45824E-08,28.37575586,10.6971639,7.015819643,10.66277233,75.08966189,14.07227547,0,0,112.5782037,0,336.62,0,0.713563518,3.33,46.8606773,0.004833091,499587,327456,182241,61268,0.000458504,0.905491817,0.000385672,0.907226092,0.000706921,0.24866146,0.000544613,0.157689378,3,2,12,17,10.5,2353.993901,184053.2947
21,4.8113E+11,4.8113E+11,48,113,13400,1,206,"Dallas-Fort Worth, TX-OK",19100,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,258.9331248,0,258.9331248,258.9331248,846,322,308,0.52,0,0,29,0.094155844,279,0.905844156,462,64,83,315,0.138528139,206,0,39,15,144,8,0,39,15,32,8,108,4,0,19,57,130,0.09223301,1.243564338,3.267252889,0.795572216,0,0.150618041,0.057930016,0.556128151,0.030896008,0,0.150618041,0.057930016,0.123584034,0.030896008,0.417096113,0.015448004,0,2.039136555,0,0.668831169,0.636446269,0.548204977,0.745831955,0.642649212,0.63806954,0.509064693,0.55392044,0.728879966,0.391634981,0.616766467,2.242718447,0.288598611,23.38040015,5.74117055,4.053340192,13.58588941,46.15616488,7.415042017,14.83008403,9.886722689,39.54689076,0,-99999,0,0,1.33,3.287335294,0.001572104,437485,282701,-99999,-99999,0.000401509,0.792933138,0.00033296,0.783231101,-99999,-99999,-99999,-99999,14,13,9,1,7.833333333,4703.083904,1047889.148
22,4.8113E+11,4.8113E+11,48,113,13607,2,206,"Dallas-Fort Worth, TX-OK",19100,"Dallas-Fort Worth-Arlington, TX",7189384,3545715,3364458,103.352046,0,103.352046,98.63697,811,341,341,0.517,20,0.058651026,88,0.258064516,233,0.683284457,351,73,60,218,0.207977208,23,0,1,7,15,0,0,1,7,5,0,0,10,0,7,5,11,0.304347826,3.457121605,8.222069271,0.23317829,0,0.010138187,0.070967306,0.152072798,0,0,0.010138187,0.070967306,0.050690933,0,0,0.101381865,0,3.690299895,0,0.06744868,0.707384219,0.48286485,0.860033024,0.573355349,0.205405607,0.208607041,0.219174753,0.001133826,0.055155875,0.122994652,15.26086957,6.40594E-07,24.70315394,0,4.630227629,20.07292631,115.6249969,0,12.384854,24.76970799,86.69397798,24.76970799,598.14,0,0,1.33,8.235927908,0.001639951,441725,300082,137840,54115,0.0004054,0.800618056,0.000353431,0.831385652,0.000534688,0.188077851,0.00048103,0.139279243,3,11,15,15,12.33333333,2752.770825,418257.6493
23,4.8329E+11,4.8329E+11,48,329,305,1,372,"Midland-Odessa, TX",33260,"Midland, TX",169808,95348,74566,93.4351817,0,93.4351817,93.4351817,1217,406,406,0.607,55,0.13546798,153,0.376847291,198,0.487684729,441,79,107,255,0.179138322,52,1,14,11,26,0,1,14,11,9,0,0,17,0,5,25,22,0.096153846,4.345258313,13.02507233,0.556535547,0.010702607,0.149836494,0.117728674,0.278267774,0,0.010702607,0.149836494,0.117728674,0.09632346,0,0,0.181944314,0,4.90179386,0,0.128078818,0.796679961,0.686222767,0.886613583,0.686217662,0.297769399,0.290144731,0.307710968,0.018192853,0.081954295,0.210953347,8.480769231,0.000563824,17.63052928,0,1.677048351,15.95348093,57.09883475,0,6.849668277,6.849668277,47.94767794,13.69933655,-99999,0,0,-99999,-99999,-99999,38618,34439,-99999,-99999,0.010428467,0.855459318,0.010633975,0.843534916,-99999,-99999,-99999,-99999,5,15,10,1,7,2696.023179,378125.5601
24,4.8329E+11,4.8329E+11,48,329,305,5,372,"Midland-Odessa, TX",33260,"Midland, TX",169808,95348,74566,159.0140391,0,159.0140391,159.0140391,1572,541,541,0.403,44,0.081330869,129,0.23844732,368,0.680221811,568,110,134,324,0.193661972,51,0,14,15,5,17,0,11,15,5,17,0,0,3,10,22,19,0.196078431,3.40221532,9.885919563,0.320726398,0,0.088042541,0.094331294,0.031443765,0.106908799,0,0.069176282,0.094331294,0.031443765,0.106908799,0,0,0.018866259,3.722941719,0,0.094269871,0.944027998,0.813141458,0.90176231,0.697942415,0.252434872,0.282431155,0.298354051,0.005451307,0.06284658,0.164781906,11.1372549,3.95773E-05,19.29204539,0,4.018042806,15.27400258,75.14707549,0,32.19841486,16.09920743,20.12400929,24.14881115,-99999,0,0,-99999,-99999,-99999,42583,37963,-99999,-99999,0.011499182,0.943291319,0.011722106,0.929850344,-99999,-99999,-99999,-99999,4,15,12,1,7.5,3212.635346,643520.7777
